#{"t_start": 1779719869.9808426, "env_id": "Blackjack4game-v1"}
r,l,t
-0.88705,4,12.783861
0.0,3,12.788035
0.0,2,12.790855
-1.0,3,12.794341
-0.770048,3,12.798721
-1.0,3,12.802389
0.0,4,12.806412
-1.0,4,12.809729
-1.0,3,12.812245
-0.330827,3,12.814793
-0.740787,4,12.818276
-1.0,3,12.821018
0.117525,4,12.824563
0.0,3,12.827408
0.0,5,12.83203
0.0,3,12.83475
-0.6952,2,12.836477
0.0,3,12.839007
-0.863888,3,12.841454
0.0,3,12.843963
-1.0,4,12.847363
0.126637,3,12.84977
-0.546514,2,12.851424
0.014035,2,12.853029
-0.090285,3,12.855421
-1.93609,2,12.857114
-0.980309,2,12.858712
-0.219153,5,12.862646
0.496958,3,12.865172
0.0,2,12.866717
0.265292,2,12.868367
-1.0,4,12.87177
-0.165413,3,12.874326
0.0,3,12.876826
-1.0,2,12.878458
-1.0,6,12.883538
-1.0,3,12.88639
-0.648806,2,12.888127
0.0,2,12.88977
0.0,3,12.892375
-1.0,2,12.894366
-0.144973,3,12.896978
-0.472348,4,12.900317
0.0,4,12.903446
0.0,3,12.905938
-0.841626,3,12.908266
0.0,5,12.912094
0.0,4,12.915289
-1.0,3,12.917698
-0.568122,2,12.919244
-1.0,3,12.921549
0.0,2,12.92327
0.0,3,12.92576
-1.0,4,12.929039
-0.557896,4,12.932066
0.0,3,12.934526
0.0,2,12.936205
-1.0,5,12.940181
0.0,3,12.942536
0.114696,3,12.944891
0.0,4,12.948038
-0.865861,5,12.952192
0.0,2,12.953806
-0.651434,5,12.957884
0.0,2,12.959463
0.0,2,12.961085
1.0,2,12.962687
-0.197412,3,12.964991
0.10276,4,12.968428
0.0,4,12.971572
-0.822587,3,12.974062
-0.653276,3,12.976712
1.268953,2,12.978627
-1.0,3,12.981482
0.0,3,12.984081
-0.605146,2,12.985713
-0.386814,4,12.989367
-0.263735,3,12.992178
-0.153672,4,12.995769
0.0,3,12.998673
0.0,5,13.002759
0.0,3,13.005453
-0.851151,3,13.008262
0.0,3,13.010835
0.208699,3,13.013241
0.0,5,13.017485
-0.447876,3,13.020051
0.0,4,13.023192
-0.513261,4,13.0264
0.0,2,13.027952
-1.0,3,13.030344
-1.0,5,13.035294
0.0,4,13.039003
-0.134758,2,13.04071
-0.410687,5,13.044794
-0.098207,4,13.048079
-1.0,3,13.050629
-1.0,3,13.053201
0.0,3,13.055547
0.0,3,13.058099
0.0,3,13.060505
-1.0,3,13.062775
-1.0,5,13.066708
-0.82697,3,13.069206
-1.0,3,13.071728
-0.693541,4,13.074891
-0.909874,3,13.077262
0.0,4,13.080616
-0.958888,4,13.084044
0.0,4,13.087337
-1.0,3,13.089746
0.0,2,13.091384
-0.710159,3,13.093956
0.0,3,13.096661
0.0,2,13.098442
0.0,2,13.10016
0.068129,2,13.101985
-2.0,2,13.103687
-0.598291,2,13.105314
0.0,2,13.106969
0.0,2,13.108698
1.0,2,13.110391
-1.0,4,13.11366
-1.0,2,13.115413
1.032865,2,13.116954
-1.0,3,13.119487
-0.520354,5,13.123707
1.0,3,13.126216
-0.363969,3,13.128664
0.0,3,13.131318
-0.707493,2,13.133018
0.0,4,13.136537
-1.0,3,13.138941
1.0,2,13.14054
-0.943525,4,13.143798
-1.668082,2,13.145503
-0.099542,3,13.148005
-0.760342,4,13.151434
0.0,2,13.153017
0.717923,3,13.155521
-1.0,2,13.157154
-0.274148,3,13.15962
0.0,4,13.162943
-1.0,3,13.165278
0.0,3,13.167977
-1.0,4,13.171259
0.0,4,13.174445
0.0,3,13.176763
0.0,2,13.178321
0.0,2,13.179862
0.0,4,13.182909
1.0,2,13.184531
-1.0,4,13.187739
-1.0,4,13.19092
0.0,4,13.193963
0.27723,4,13.197127
0.080931,2,13.198869
0.0,2,13.200714
-0.153987,3,13.203283
0.0,5,13.207238
0.0,2,13.20885
-0.243196,3,13.211255
-0.161956,3,13.213744
0.0,3,13.216087
0.0,4,13.219391
0.0,4,13.222563
0.432096,4,13.225909
-0.416174,3,13.228284
-1.0,3,13.230664
0.0,2,13.232212
0.0,2,13.233931
-1.0,2,13.235517
0.0,3,13.237954
0.0,2,13.239552
0.0,3,13.242068
0.21846,4,13.245241
0.0,2,13.246967
0.325888,3,13.249479
-1.0,3,13.251911
-0.613409,4,13.255273
0.0,3,13.257665
0.037833,3,13.260166
-1.0,4,13.263306
0.0,3,13.265692
0.269663,3,13.268271
0.0,3,13.2707
1.0,3,13.273134
0.0,3,13.275593
0.0,6,13.280497
-0.13665,2,13.282224
0.0,2,13.283863
-0.120282,5,13.287934
0.0,3,13.290318
0.0,3,13.292677
0.0,3,13.295041
0.0,3,13.29755
0.0,3,13.300113
-0.468324,3,13.302777
0.0,2,13.304602
1.0,3,13.307354
-0.500416,3,13.309967
0.0,3,13.312442
0.0,3,13.314994
0.258875,5,13.319529
-0.467816,3,13.322315
0.0,3,13.325146
-0.033727,3,13.328466
0.0,5,13.332916
0.0,3,13.335534
-0.104437,3,13.338064
0.0,4,13.341603
0.0,3,13.344086
0.0,2,13.345759
0.0,3,13.348314
-0.316694,3,13.350804
-1.0,2,13.352505
0.0,2,13.354205
0.902606,2,13.35596
0.0,3,13.358563
0.0,3,13.361138
0.0,2,13.362886
-0.116477,3,13.365498
0.0,3,13.368093
0.237578,2,13.369724
0.0,2,13.371412
-0.070524,4,13.374598
0.0,4,13.377889
-1.0,3,13.380364
-1.0,3,13.382766
-1.0,3,13.385309
0.0,4,13.388653
-0.745819,3,13.391291
-0.731893,2,13.392981
0.841681,3,13.395587
-0.395309,3,13.398107
0.0,3,13.400709
