#{"t_start": 1779728697.0647695, "env_id": "Blackjack4game-v1"}
r,l,t
-0.19412,3,1.0105
0.0,4,1.014921
-0.783202,3,1.017927
0.0,3,1.020756
-0.284549,2,1.022708
-0.644291,3,1.026169
0.0,4,1.030073
0.0,4,1.033866
-0.157082,3,1.037122
0.0,3,1.041094
-0.960643,3,1.044177
-0.145983,3,1.046999
0.0,4,1.050666
0.0,3,1.053521
0.0,3,1.05612
0.0,3,1.058953
0.0,2,1.060772
-1.0,2,1.062652
0.0,5,1.067171
0.014399,3,1.069838
0.0,4,1.073451
0.0,2,1.075351
-0.576105,3,1.078634
0.0,3,1.081413
-0.145144,3,1.084116
0.0,2,1.08602
-1.0,4,1.090693
0.0,5,1.095329
0.168106,3,1.098164
-1.0,2,1.100616
0.207401,3,1.103941
-1.0,3,1.10741
-0.842331,6,1.113199
-0.283089,4,1.117453
0.0,3,1.120331
-0.259219,4,1.124128
0.0,2,1.12605
0.0,4,1.129909
-0.344375,4,1.133715
0.0,4,1.137696
-0.900502,3,1.14041
0.0,2,1.14224
0.0,3,1.145146
-1.0,3,1.148126
-0.487835,5,1.152532
0.019662,4,1.155926
-0.284041,4,1.159544
0.0,2,1.161387
0.837772,2,1.163264
0.0,3,1.166319
0.0,4,1.169828
0.0,3,1.172723
0.315098,2,1.174742
0.0,4,1.179826
0.0,4,1.185166
-1.0,3,1.18803
0.0,4,1.192667
0.854081,3,1.195521
0.0,3,1.198878
-1.0,2,1.201053
0.0,2,1.202849
0.989633,5,1.208218
-0.237012,4,1.212497
0.0,3,1.215627
0.0,4,1.219852
0.0,3,1.223685
-1.0,4,1.228822
0.0,4,1.232644
-1.0,3,1.235471
-0.363114,3,1.238538
0.0,3,1.242572
1.0,3,1.245867
-1.0,3,1.249134
-0.63417,4,1.253047
-0.697959,3,1.256218
0.699942,3,1.259059
0.561858,2,1.261507
0.0,4,1.265356
-0.016091,4,1.269731
0.0,3,1.272567
0.0,3,1.276063
0.0,2,1.27808
0.0,3,1.281496
-0.520156,4,1.285373
-0.630214,2,1.287298
-0.267983,4,1.29162
0.0,4,1.295713
-1.0,3,1.298796
-1.0,3,1.301738
0.0,2,1.304077
-1.0,2,1.306067
1.5,2,1.307926
0.0,2,1.310317
0.0,3,1.31325
-1.0,3,1.316474
-0.544687,5,1.321143
0.0,3,1.32443
0.0,2,1.32642
-0.256514,3,1.329385
0.0,2,1.331329
1.0,2,1.333259
-1.0,4,1.336597
0.0,4,1.340335
-0.433508,3,1.342896
0.0,4,1.346628
-0.272079,2,1.348437
-1.0,4,1.351997
0.693933,2,1.353852
0.0,3,1.35639
-1.0,4,1.360034
0.0,4,1.363449
0.0,2,1.365352
-0.41321,5,1.369674
0.0,4,1.374622
0.0,3,1.378404
0.0,4,1.383722
-0.517808,3,1.386555
-1.0,3,1.389298
-0.494544,3,1.391944
0.0,3,1.39467
0.0,4,1.398134
-1.0,2,1.400029
-0.054895,3,1.402762
0.351376,3,1.405399
-0.160767,3,1.408353
0.0,2,1.410216
-0.29416,3,1.412844
0.0,3,1.415527
-0.145363,3,1.418144
-1.0,2,1.419887
-0.784255,5,1.424212
0.0,5,1.428651
0.0,3,1.431193
0.0,3,1.433855
-0.707264,3,1.436594
0.0,3,1.439254
0.0,7,1.445291
0.0,3,1.448003
0.0,4,1.451509
-0.027423,5,1.456037
0.0,5,1.460392
0.0,2,1.46225
-0.650081,4,1.46577
