#{"t_start": 1779788540.488714, "env_id": "Blackjack4game-v1"}
r,l,t
-0.19412,3,0.011806
0.0,4,0.016187
-0.783202,3,0.019486
0.0,3,0.022569
-0.284549,2,0.024731
-0.644291,3,0.027835
0.0,4,0.032609
0.0,4,0.03705
-0.157082,3,0.039881
0.0,3,0.043046
-0.960643,3,0.046226
-0.145983,3,0.049081
0.0,4,0.052589
0.0,3,0.055212
0.0,3,0.057875
0.0,3,0.060602
0.0,2,0.06237
-1.0,2,0.064214
0.0,5,0.06856
0.014399,3,0.071335
0.0,4,0.07474
0.0,2,0.076531
-0.576105,3,0.079179
0.0,3,0.081851
-0.145144,3,0.084487
0.0,2,0.086178
-1.0,4,0.089717
0.0,5,0.094398
0.168106,3,0.097045
-1.0,2,0.098847
0.207401,3,0.101558
-1.0,3,0.104293
-0.842331,6,0.109469
-0.283089,4,0.112806
0.0,3,0.115437
-0.259219,4,0.118791
0.0,2,0.12064
0.0,4,0.124012
-0.344375,4,0.127679
0.0,4,0.131666
-0.900502,3,0.134466
0.0,2,0.136172
0.0,3,0.138811
-1.0,3,0.141821
-0.487835,5,0.146245
0.019662,4,0.150074
-0.284041,4,0.153845
0.0,2,0.15573
0.837772,2,0.157533
0.0,3,0.160549
0.0,4,0.164236
0.0,3,0.166867
0.315098,2,0.169002
0.0,4,0.172548
0.0,4,0.176516
-1.0,3,0.179242
0.0,4,0.183158
0.854081,3,0.185931
0.0,3,0.188924
-1.0,2,0.190774
0.0,2,0.192645
0.989633,5,0.197348
-0.237012,4,0.201017
0.0,3,0.204242
0.0,4,0.208714
0.0,3,0.211911
-1.0,4,0.215859
0.0,4,0.221594
-1.0,3,0.227416
-0.363114,3,0.23349
0.0,3,0.2392
1.0,3,0.244634
-1.0,3,0.250285
-0.63417,4,0.257792
-0.697959,3,0.263835
0.699942,3,0.269871
0.561858,2,0.272686
0.0,4,0.279128
-0.016091,4,0.285456
0.0,3,0.289286
0.0,3,0.292502
0.0,2,0.294955
0.0,3,0.298432
-0.520156,4,0.302815
-0.630214,2,0.304753
-0.267983,4,0.308595
0.0,4,0.312259
-1.0,3,0.315571
-1.0,3,0.318634
0.0,2,0.32062
-1.0,2,0.322617
1.5,2,0.324739
0.0,2,0.32689
0.0,3,0.330647
-1.0,3,0.333313
-0.544687,5,0.338254
0.0,3,0.340926
0.0,2,0.342879
-0.256514,3,0.345727
0.0,2,0.347517
1.0,2,0.349404
-1.0,4,0.352667
0.0,4,0.356227
-0.433508,3,0.358787
0.0,4,0.362288
-0.272079,2,0.363963
-1.0,4,0.367391
0.693933,2,0.369389
0.0,3,0.371886
-1.0,4,0.375288
0.0,4,0.378805
0.0,2,0.380485
-0.41321,5,0.38517
0.0,4,0.388647
0.0,3,0.391334
0.0,4,0.394718
-0.517808,3,0.397359
-1.0,3,0.399964
-0.494544,3,0.402484
0.0,3,0.405063
0.0,4,0.408476
-1.0,2,0.410216
-0.054895,3,0.412802
0.351376,3,0.415304
-0.160767,3,0.417866
0.0,2,0.419636
-0.29416,3,0.422164
0.0,3,0.424708
-0.145363,3,0.427385
-1.0,2,0.429168
-0.784255,5,0.433476
0.0,5,0.438871
0.0,3,0.442273
0.0,3,0.445631
-0.707264,3,0.448811
0.0,3,0.451833
0.0,7,0.45813
0.0,3,0.460894
0.0,4,0.464664
-0.027423,5,0.469269
0.0,5,0.474174
0.0,2,0.476373
-0.650081,4,0.480298
1.0,4,0.484279
0.0,3,0.487204
-1.0,2,0.489084
-0.950639,2,0.490805
0.0,3,0.493628
-0.682499,4,0.497271
-0.825216,6,0.502803
-0.277786,4,0.50675
0.0,4,0.510436
-1.304706,2,0.512484
-1.0,3,0.515365
0.159394,3,0.51827
-0.877277,4,0.522103
-0.337458,3,0.525321
-0.815063,4,0.529568
-0.321576,3,0.534647
0.0,2,0.53809
0.0,3,0.542852
0.0,3,0.547565
0.0,6,0.553475
-0.67713,2,0.555371
-1.0,3,0.558149
0.08511,3,0.560994
-0.780737,5,0.565378
0.0,5,0.569917
0.0,2,0.571737
-0.638373,4,0.575335
1.5,2,0.57728
0.0,5,0.581881
0.0,2,0.583651
0.0,4,0.587244
-1.0,4,0.590976
0.0,4,0.594577
0.0,4,0.598279
0.0,4,0.602422
0.0,4,0.60672
0.0,4,0.610563
-1.0,6,0.616655
0.0,2,0.618636
-0.599458,4,0.62256
0.412489,3,0.625287
0.0,3,0.628188
-0.815485,2,0.630493
-0.700638,3,0.633307
0.0,3,0.636044
0.0,4,0.639888
0.0,4,0.644221
-0.01389,3,0.647433
0.0,3,0.65052
0.0,3,0.653592
0.0,3,0.656477
-0.001895,6,0.662299
0.0,5,0.66699
0.0,6,0.672432
0.0,5,0.677292
-1.0,5,0.681919
0.0,2,0.684142
0.0,4,0.688103
1.0,2,0.691166
0.0,3,0.6948
1.0,3,0.699081
-1.0,3,0.702415
-1.0,4,0.708387
1.0,4,0.714214
0.0,4,0.719673
-0.240238,3,0.723246
-0.843537,4,0.72911
0.0,2,0.732992
-0.318862,4,0.740083
-0.280249,4,0.745821
0.0,3,0.750193
-0.046749,5,0.755861
-0.431043,4,0.759714
1.5,2,0.761721
-1.0,5,0.766437
0.0,2,0.768583
-0.265796,3,0.771442
0.0,2,0.773505
0.0,4,0.777146
0.0,3,0.779939
0.200348,3,0.782652
0.0,3,0.78543
-0.377024,2,0.787324
0.0,3,0.790103
0.0,4,0.793782
0.0,4,0.797313
-0.541254,3,0.800058
0.0,3,0.802742
0.005323,2,0.804508
0.0,5,0.809122
-0.30625,3,0.811775
0.0,2,0.813566
0.846416,2,0.815426
-0.632556,4,0.818861
0.0,3,0.821523
0.0,3,0.824186
-1.0,3,0.82683
0.0,4,0.830293
0.0,2,0.832033
0.0,3,0.834673
0.0,2,0.836423
1.0,3,0.83932
0.0,4,0.842964
-1.0,4,0.84649
-1.0,5,0.850904
