#{"t_start": 1779789049.760507, "env_id": "Blackjack4game-v1"}
r,l,t
-0.19412,3,0.008932
0.0,4,0.012929
-0.783202,3,0.018456
0.0,3,0.024012
-0.284549,2,0.027765
-0.644291,3,0.033153
0.0,4,0.039453
0.0,4,0.04613
-0.157082,3,0.051067
0.0,3,0.054083
-0.960643,3,0.056819
-0.145983,3,0.059449
0.0,4,0.06369
0.0,3,0.067438
0.0,3,0.070241
0.0,3,0.07277
0.0,2,0.074504
-1.0,2,0.076251
0.0,5,0.080811
0.014399,3,0.083537
0.0,4,0.086976
0.0,2,0.088723
-0.576105,3,0.091311
0.0,3,0.093881
-0.145144,3,0.096411
0.0,2,0.09814
-1.0,4,0.101606
0.0,5,0.10575
0.168106,3,0.108315
-1.0,2,0.109967
0.207401,3,0.11253
-1.0,3,0.115106
-0.842331,6,0.119938
-0.283089,4,0.123255
0.0,3,0.125763
-0.259219,4,0.129117
0.0,2,0.130851
0.0,4,0.13411
-0.344375,4,0.137439
0.0,4,0.140715
-0.900502,3,0.143232
0.0,2,0.14491
0.0,3,0.147353
-1.0,3,0.149892
-0.487835,5,0.153928
0.019662,4,0.157223
-0.284041,4,0.160486
0.0,2,0.162195
0.837772,2,0.163817
0.0,3,0.166333
0.0,4,0.169601
0.0,3,0.172142
0.315098,2,0.17388
0.0,4,0.177262
0.0,4,0.180483
-1.0,3,0.182986
0.0,4,0.186239
0.854081,3,0.188759
0.0,3,0.191288
-1.0,2,0.192945
0.0,2,0.194629
0.989633,5,0.19875
-0.237012,4,0.202094
0.0,3,0.204798
0.0,4,0.208102
0.0,3,0.210666
-1.0,4,0.214205
0.0,4,0.21805
-1.0,3,0.2209
-0.363114,3,0.223613
0.0,3,0.226302
1.0,3,0.22943
-1.0,3,0.232188
-0.63417,4,0.235674
-0.697959,3,0.238637
0.699942,3,0.241424
0.561858,2,0.243216
0.0,4,0.246902
-0.016091,4,0.250367
0.0,3,0.253219
0.0,3,0.256021
0.0,2,0.258092
0.0,3,0.261213
-0.520156,4,0.264802
-0.630214,2,0.266753
-0.267983,4,0.270271
0.0,4,0.27385
-1.0,3,0.276917
-1.0,3,0.279882
0.0,2,0.281836
-1.0,2,0.283702
1.5,2,0.285754
0.0,2,0.287793
0.0,3,0.290557
-1.0,3,0.293308
-0.544687,5,0.298193
0.0,3,0.301004
0.0,2,0.302845
-0.256514,3,0.305547
0.0,2,0.307343
1.0,2,0.309453
-1.0,4,0.312819
0.0,4,0.316686
-0.433508,3,0.319308
0.0,4,0.322825
-0.272079,2,0.324575
-1.0,4,0.32805
0.693933,2,0.329843
0.0,3,0.332399
-1.0,4,0.336368
0.0,4,0.33997
0.0,2,0.341681
-0.41321,5,0.346123
0.0,4,0.349667
0.0,3,0.35232
0.0,4,0.355731
-0.517808,3,0.358319
-1.0,3,0.361037
-0.494544,3,0.363612
0.0,3,0.366201
0.0,4,0.36956
-1.0,2,0.371235
-0.054895,3,0.373822
0.351376,3,0.376461
-0.160767,3,0.379039
0.0,2,0.380735
-0.29416,3,0.383252
0.0,3,0.385712
-0.145363,3,0.388239
-1.0,2,0.39021
-0.784255,5,0.394686
0.0,5,0.398844
0.0,3,0.401577
0.0,3,0.404186
-0.707264,3,0.406759
0.0,3,0.409473
0.0,7,0.415303
0.0,3,0.417843
0.0,4,0.421168
-0.027423,5,0.4253
0.0,5,0.429513
0.0,2,0.431277
-0.650081,4,0.434586
1.0,4,0.43833
0.0,3,0.441039
-1.0,2,0.442849
-0.950639,2,0.444548
0.0,3,0.447181
-0.682499,4,0.450781
-0.825216,6,0.455795
-0.277786,4,0.459041
0.0,4,0.46241
-1.304706,2,0.464238
-1.0,3,0.467148
0.159394,3,0.470098
-0.877277,4,0.473598
-0.337458,3,0.476328
-0.815063,4,0.479933
-0.321576,3,0.482572
0.0,2,0.484344
0.0,3,0.48706
0.0,3,0.489829
0.0,6,0.495217
-0.67713,2,0.497095
-1.0,3,0.499804
0.08511,3,0.502419
-0.780737,5,0.507161
0.0,5,0.511546
0.0,2,0.513319
-0.638373,4,0.517111
1.5,2,0.518939
0.0,5,0.523495
0.0,2,0.52539
0.0,4,0.529151
-1.0,4,0.532895
0.0,4,0.536459
0.0,4,0.540112
0.0,4,0.54374
0.0,4,0.547356
0.0,4,0.550959
-1.0,6,0.556499
0.0,2,0.558442
-0.599458,4,0.561955
0.412489,3,0.5646
0.0,3,0.567196
-0.815485,2,0.568959
-0.700638,3,0.571611
0.0,3,0.574289
0.0,4,0.577678
0.0,4,0.581007
-0.01389,3,0.584345
0.0,3,0.58698
0.0,3,0.589576
0.0,3,0.592163
-0.001895,6,0.597113
0.0,5,0.601427
0.0,6,0.606331
0.0,5,0.610531
-1.0,5,0.614641
0.0,2,0.616374
0.0,4,0.619672
1.0,2,0.621443
0.0,3,0.62396
1.0,3,0.6265
-1.0,3,0.629091
-1.0,4,0.632502
1.0,4,0.635792
0.0,4,0.639085
-0.240238,3,0.641604
-0.843537,4,0.644894
0.0,2,0.646632
-0.318862,4,0.650056
-0.280249,4,0.653373
0.0,3,0.655893
-0.046749,5,0.65994
-0.431043,4,0.663236
1.5,2,0.664896
-1.0,5,0.669543
0.0,2,0.67157
-0.265796,3,0.674182
0.0,2,0.676016
0.0,4,0.679509
0.0,3,0.68207
0.200348,3,0.684612
0.0,3,0.687245
-0.377024,2,0.688989
0.0,3,0.691549
0.0,4,0.694834
0.0,4,0.698324
-0.541254,3,0.700867
0.0,3,0.703315
0.005323,2,0.705065
0.0,5,0.709129
-0.30625,3,0.711698
0.0,2,0.713432
0.846416,2,0.71524
-0.632556,4,0.718624
0.0,3,0.721149
0.0,3,0.723652
-1.0,3,0.726194
0.0,4,0.729494
0.0,2,0.731213
0.0,3,0.733808
0.0,2,0.735488
1.0,3,0.737983
0.0,4,0.741292
-1.0,4,0.744607
-1.0,5,0.748676
0.0,3,0.751104
0.0,5,0.755208
0.0,5,0.759675
-0.063589,2,0.761465
-1.0,3,0.764083
-1.0,4,0.767483
0.0,3,0.770019
-0.109559,4,0.773369
0.0,3,0.775977
0.0,2,0.777694
-0.258561,3,0.780302
0.0,3,0.782866
-0.841989,4,0.786453
0.0,2,0.788324
0.0,2,0.790194
0.0,2,0.792074
-1.0,4,0.795734
0.0,2,0.797537
-1.0,3,0.800081
-0.977712,6,0.805288
-0.73236,4,0.808794
-0.346718,2,0.810563
0.0,2,0.812287
1.5,2,0.813988
-0.367394,3,0.816703
0.0,3,0.819309
-0.285045,3,0.821856
-0.921321,3,0.824418
0.0,3,0.826941
0.0,4,0.830396
0.0,2,0.832127
0.0,3,0.834668
0.0,4,0.83798
-0.467923,4,0.84126
-0.463643,3,0.843844
-0.783419,3,0.846341
-0.984392,2,0.848005
0.0,3,0.850487
0.0,2,0.852113
-0.339027,5,0.856172
-1.0,3,0.858685
0.0,4,0.862044
-0.703797,2,0.863739
0.0,3,0.866213
-0.451511,3,0.868707
-1.0,4,0.872003
0.0,3,0.874512
0.0,4,0.877816
-1.0,3,0.880297
0.419182,4,0.883541
-0.199729,3,0.88608
0.0,4,0.889324
-2.0,2,0.891013
1.5,2,0.892694
0.0,3,0.895226
-0.032261,2,0.896907
-0.084165,4,0.941775
1.5,2,0.943603
1.0,4,0.947139
-1.0,4,0.950587
0.0,3,0.953186
0.0,3,0.955779
-0.09649,5,0.959915
-1.0,2,0.961582
-0.245805,3,0.964079
0.0,3,0.966679
0.001006,3,0.969271
0.0,4,0.972597
0.0,3,0.97509
-0.062541,5,0.979138
-0.282353,4,0.982499
0.173913,2,0.984253
-1.0,3,0.986765
0.0,2,0.98845
0.0,4,0.991772
0.0,3,0.994285
-0.18673,5,0.998364
0.231026,3,1.000838
-0.155507,3,1.003352
-0.607848,3,1.005764
-0.531741,5,1.009841
0.0,2,1.011576
0.0,3,1.014032
0.0,4,1.017427
-0.394051,4,1.020732
-0.674567,4,1.0241
0.0,2,1.025916
0.0,4,1.029372
0.0,3,1.032129
0.461022,3,1.034898
0.0,3,1.037624
-0.111355,3,1.04047
-1.0,3,1.043111
0.666123,5,1.047462
0.0,3,1.050137
-0.66877,2,1.05195
-0.896976,2,1.053922
0.716469,3,1.056769
0.0,4,1.060681
-1.0,2,1.062616
-1.0,3,1.065688
-0.784517,3,1.068744
0.0,3,1.071635
0.0,3,1.074459
-0.549848,3,1.077317
0.0,3,1.080397
0.0,2,1.082515
0.0,4,1.086581
-0.783872,3,1.089428
0.0,5,1.094072
-0.022889,4,1.097692
-0.638381,4,1.101335
0.0,3,1.103949
-0.535006,4,1.107289
0.129125,2,1.109011
0.0,2,1.110673
0.0,4,1.114094
0.0,3,1.116665
0.0,2,1.118389
0.0,3,1.121016
0.0,4,1.124298
-0.231882,2,1.126024
0.0,2,1.127697
0.0,2,1.129403
-0.25462,4,1.132785
0.0,2,1.134591
0.0,4,1.138006
-0.699076,2,1.139723
0.912858,3,1.142287
1.492403,2,1.143939
0.0,2,1.145603
0.0,4,1.148914
0.0,3,1.151455
-1.0,3,1.154037
0.0,4,1.157402
-0.654892,3,1.159901
-1.0,3,1.162451
0.0,4,1.165836
-1.0,4,1.169123
0.0,2,1.170803
0.007598,3,1.173249
-0.748463,4,1.176532
0.0,2,1.17822
-0.100805,3,1.180748
-0.316523,3,1.183331
0.0,4,1.186608
0.229811,3,1.189114
-1.0,3,1.191783
-1.0,3,1.19434
0.0,4,1.197698
-1.0,3,1.200233
-0.239791,2,1.201894
-1.0,3,1.204502
0.0,4,1.207818
0.0,4,1.211102
-0.141764,2,1.212898
-0.391823,4,1.216274
0.0,4,1.21962
-0.557344,3,1.222155
0.0,4,1.225579
-1.0,3,1.228271
-0.064235,3,1.230907
0.0,3,1.233485
0.0,4,1.236799
0.0,6,1.241809
0.0,2,1.243491
0.0,3,1.246107
1.5,2,1.247797
0.0,4,1.251145
0.83322,2,1.252898
0.0,3,1.25555
1.0,3,1.258602
-0.242734,4,1.262205
0.0,4,1.265586
0.0,4,1.269019
0.409742,2,1.270868
0.628137,4,1.274374
0.0,4,1.277792
-0.117984,2,1.2795
0.0,2,1.281333
0.0,2,1.283012
0.0,3,1.285596
0.0,4,1.288979
0.0,2,1.290761
-1.0,5,1.294914
0.0,2,1.296594
0.258874,2,1.298366
0.0,3,1.300877
0.0,3,1.303385
0.0,2,1.305134
-0.414968,6,1.31033
-0.715986,6,1.315298
0.0,3,1.318102
-0.729,2,1.319832
0.0,5,1.324119
0.0,2,1.325872
0.0,4,1.329329
-0.326767,3,1.332002
0.0,3,1.334548
0.0,3,1.33711
0.0,6,1.342016
0.0,3,1.344665
0.59389,4,1.348038
0.0,4,1.351395
0.0,3,1.353923
0.0,3,1.356446
-0.030506,4,1.359878
0.0,3,1.362462
-1.0,3,1.365083
0.0,4,1.36849
0.0,5,1.3727
0.0,3,1.375258
0.0,4,1.378777
-0.328142,2,1.380488
-0.796161,2,1.382185
-0.228133,2,1.383836
0.0,5,1.388061
-1.0,4,1.391311
-0.329012,3,1.393802
0.0,3,1.396336
0.0,4,1.39973
0.0,2,1.401442
1.0,3,1.403952
0.0,3,1.406522
0.0,4,1.409905
0.0,4,1.413314
0.0,5,1.417478
-0.511255,3,1.420067
1.257841,2,1.421773
0.648854,3,1.424346
0.0,4,1.427737
0.883584,3,1.430321
0.0,4,1.433832
-1.0,4,1.437188
-0.098925,2,1.438941
-0.008122,2,1.440644
-0.183375,4,1.443986
-2.0,2,1.44583
0.0,5,1.450075
-1.0,3,1.452692
0.0,2,1.454412
0.0,4,1.457783
0.0,4,1.46112
0.486272,4,1.464476
0.0,3,1.467002
-0.806569,3,1.469601
0.0,4,1.472942
-1.0,3,1.475526
0.0,5,1.479642
0.0,5,1.483853
0.0,3,1.486434
-0.875456,2,1.488143
0.0,4,1.491507
0.165148,2,1.493182
0.0,2,1.494828
0.0,4,1.498268
-0.464459,3,1.500818
0.0,2,1.502622
0.0,4,1.506042
0.0,2,1.507759
-0.486981,2,1.50946
0.538183,5,1.513651
-0.228538,4,1.517095
0.0,5,1.521258
0.0,2,1.522984
-0.297774,5,1.5271
0.0,3,1.529688
0.0,2,1.531452
0.0,2,1.533127
0.0,3,1.535694
1.5,2,1.537407
0.0,5,1.541611
0.0,3,1.544208
1.0,3,1.546778
1.0,3,1.549295
0.0,3,1.551838
0.0,4,1.555489
-1.0,3,1.558441
-0.402308,2,1.560315
0.0,4,1.563743
0.0,3,1.566471
-0.21097,2,1.568275
-0.107274,3,1.571057
0.0,4,1.5749
-0.748829,4,1.578785
-1.0,3,1.581433
0.0,3,1.58414
1.202941,2,1.585942
0.0,4,1.5894
-0.195505,3,1.592043
0.0,3,1.59479
0.0,4,1.598308
0.0,3,1.601015
0.0,2,1.602786
-0.061589,4,1.606379
-0.832704,4,1.609795
-0.793809,4,1.613284
0.0,3,1.615834
0.0,3,1.618419
-1.0,3,1.621048
0.256595,3,1.623598
-0.027455,3,1.626119
0.0,2,1.628172
0.0,4,1.63184
0.287372,3,1.634574
0.0,3,1.637138
-0.803046,2,1.638921
0.0,4,1.642406
0.0,3,1.644982
0.0,4,1.648431
-1.0,4,1.651778
-0.753061,3,1.654353
0.0,2,1.656065
-0.265457,2,1.657745
0.320457,2,1.659465
0.0,4,1.662817
0.0,4,1.66608
-0.096398,5,1.670191
-0.510335,4,1.673492
0.0,3,1.676043
0.0,3,1.678606
0.0,5,1.682737
0.0,3,1.685287
