#{"t_start": 1779972541.169826, "env_id": "Blackjack4game-v1"}
r,l,t
-0.19412,3,0.015749
0.0,4,0.020194
-0.783202,3,0.023164
0.0,3,0.027027
-0.284549,2,0.029726
-0.644291,3,0.03366
0.0,4,0.038337
0.0,4,0.0433
-0.157082,3,0.046535
0.0,3,0.050145
-0.960643,3,0.053282
-0.145983,3,0.056442
0.0,4,0.060172
0.0,3,0.063499
0.0,3,0.066042
0.0,3,0.069762
0.0,2,0.071584
-1.0,2,0.073312
0.0,5,0.078736
0.014399,3,0.081988
0.0,4,0.085731
0.0,2,0.088268
-0.576105,3,0.091694
0.0,3,0.094294
-0.145144,3,0.097914
0.0,2,0.099874
-1.0,4,0.104082
0.0,5,0.109272
0.168106,3,0.112413
-1.0,2,0.114222
0.207401,3,0.116874
-1.0,3,0.119737
-0.842331,6,0.124902
-0.283089,4,0.128051
0.0,3,0.130549
-0.259219,4,0.133658
0.0,2,0.135249
0.0,4,0.138768
-0.344375,4,0.142134
0.0,4,0.145522
-0.900502,3,0.148187
0.0,2,0.150288
0.0,3,0.153213
-1.0,3,0.156425
-0.487835,5,0.161751
0.019662,4,0.165221
-0.284041,4,0.169104
0.0,2,0.171134
0.837772,2,0.173246
0.0,3,0.176172
0.0,4,0.179997
0.0,3,0.182923
0.315098,2,0.184653
0.0,4,0.188833
0.0,4,0.192353
-1.0,3,0.195491
0.0,4,0.198878
0.854081,3,0.201824
0.0,3,0.204745
-1.0,2,0.206388
0.0,2,0.208217
0.989633,5,0.213356
-0.237012,4,0.21711
0.0,3,0.219668
0.0,4,0.224512
0.0,3,0.228311
-1.0,4,0.233081
0.0,4,0.237604
-1.0,3,0.240162
-0.363114,3,0.243128
0.0,3,0.245795
1.0,3,0.248411
-1.0,3,0.251289
-0.63417,4,0.254867
-0.697959,3,0.258029
0.699942,3,0.260687
0.561858,2,0.262479
0.0,4,0.266183
-0.016091,4,0.269619
0.0,3,0.272663
0.0,3,0.275154
0.0,2,0.277122
0.0,3,0.279917
-0.520156,4,0.283336
-0.630214,2,0.285394
-0.267983,4,0.289132
0.0,4,0.292938
-1.0,3,0.295453
-1.0,3,0.298372
0.0,2,0.300345
-1.0,2,0.302
1.5,2,0.303735
0.0,2,0.305755
0.0,3,0.308337
-1.0,3,0.310989
-0.544687,5,0.316348
0.0,3,0.319104
0.0,2,0.321171
-0.256514,3,0.323697
0.0,2,0.325476
1.0,2,0.327714
-1.0,4,0.331208
0.0,4,0.335459
-0.433508,3,0.338202
0.0,4,0.34215
-0.272079,2,0.343895
-1.0,4,0.347767
0.693933,2,0.349632
0.0,3,0.352219
-1.0,4,0.356137
0.0,4,0.359437
0.0,2,0.361452
-0.41321,5,0.365781
0.0,4,0.369851
0.0,3,0.372705
0.0,4,0.377238
-0.517808,3,0.379874
-1.0,3,0.382906
-0.494544,3,0.385688
0.0,3,0.388507
0.0,4,0.392398
-1.0,2,0.394243
-0.054895,3,0.397594
0.351376,3,0.400345
-0.160767,3,0.403365
0.0,2,0.405249
-0.29416,3,0.407773
0.0,3,0.410326
-0.145363,3,0.412947
-1.0,2,0.414645
-0.784255,5,0.419163
0.0,5,0.423318
0.0,3,0.425811
0.0,3,0.428717
-0.707264,3,0.431788
0.0,3,0.434363
0.0,7,0.440761
0.0,3,0.4435
0.0,4,0.447864
-0.027423,5,0.452784
0.0,5,0.45709
0.0,2,0.459255
-0.650081,4,0.462713
1.0,4,0.466523
0.0,3,0.469122
-1.0,2,0.470901
