#{"t_start": 1779974866.181302, "env_id": "Blackjack4game-v1"}
r,l,t
-0.19412,3,0.012426
0.0,4,0.017343
-0.783202,3,0.021168
0.0,3,0.026184
-0.284549,2,0.029785
-0.644291,3,0.03381
0.0,4,0.038769
0.0,4,0.04429
-0.157082,3,0.047832
0.0,3,0.05081
-0.960643,3,0.05418
-0.145983,3,0.057652
0.0,4,0.061981
0.0,3,0.065649
0.0,3,0.069036
0.0,3,0.072325
0.0,2,0.074385
-1.0,2,0.076381
0.0,5,0.081004
0.014399,3,0.083769
0.0,4,0.087768
0.0,2,0.089651
-0.576105,3,0.092472
0.0,3,0.095487
-0.145144,3,0.098456
0.0,2,0.100464
-1.0,4,0.104184
0.0,5,0.108909
0.168106,3,0.111642
-1.0,2,0.113557
0.207401,3,0.116507
-1.0,3,0.119322
-0.842331,6,0.124775
-0.283089,4,0.128433
0.0,3,0.13144
-0.259219,4,0.135299
0.0,2,0.137485
0.0,4,0.141263
-0.344375,4,0.144981
0.0,4,0.14869
-0.900502,3,0.152057
0.0,2,0.154408
0.0,3,0.157269
-1.0,3,0.160043
-0.487835,5,0.164905
0.019662,4,0.168633
-0.284041,4,0.17256
0.0,2,0.174471
0.837772,2,0.176322
0.0,3,0.179223
0.0,4,0.182819
0.0,3,0.185865
0.315098,2,0.187757
0.0,4,0.191613
0.0,4,0.195355
-1.0,3,0.198254
0.0,4,0.201812
0.854081,3,0.206166
0.0,3,0.209388
-1.0,2,0.211544
0.0,2,0.213691
0.989633,5,0.218483
-0.237012,4,0.222173
0.0,3,0.225831
0.0,4,0.230923
0.0,3,0.236013
-1.0,4,0.242474
0.0,4,0.247406
-1.0,3,0.250398
-0.363114,3,0.253711
0.0,3,0.256725
1.0,3,0.260605
-1.0,3,0.263676
-0.63417,4,0.267739
-0.697959,3,0.271135
0.699942,3,0.274527
0.561858,2,0.277514
0.0,4,0.283703
-0.016091,4,0.28851
0.0,3,0.291764
0.0,3,0.295024
0.0,2,0.297074
0.0,3,0.300078
-0.520156,4,0.304938
-0.630214,2,0.307045
-0.267983,4,0.310966
0.0,4,0.314865
-1.0,3,0.31781
-1.0,3,0.321381
0.0,2,0.323609
-1.0,2,0.325694
1.5,2,0.327826
0.0,2,0.329898
0.0,3,0.332819
-1.0,3,0.336313
-0.544687,5,0.341274
0.0,3,0.344139
0.0,2,0.346047
-0.256514,3,0.348848
0.0,2,0.350792
1.0,2,0.353513
-1.0,4,0.357559
0.0,4,0.361361
-0.433508,3,0.364176
0.0,4,0.368317
-0.272079,2,0.370503
-1.0,4,0.374383
0.693933,2,0.376256
0.0,3,0.379017
-1.0,4,0.382736
0.0,4,0.387509
0.0,2,0.390356
-0.41321,5,0.395207
0.0,4,0.39894
0.0,3,0.401721
0.0,4,0.405436
-0.517808,3,0.408529
-1.0,3,0.411375
-0.494544,3,0.41421
0.0,3,0.416996
0.0,4,0.420971
-1.0,2,0.42298
-0.054895,3,0.426008
0.351376,3,0.428932
-0.160767,3,0.431731
0.0,2,0.433688
-0.29416,3,0.436597
0.0,3,0.439341
-0.145363,3,0.442307
-1.0,2,0.444145
-0.784255,5,0.448618
0.0,5,0.453333
0.0,3,0.456126
0.0,3,0.458787
-0.707264,3,0.461612
0.0,3,0.464561
0.0,7,0.470549
0.0,3,0.473192
0.0,4,0.476932
-0.027423,5,0.481377
0.0,5,0.485893
0.0,2,0.487847
-0.650081,4,0.491389
1.0,4,0.494866
0.0,3,0.497609
-1.0,2,0.499399
-0.950639,2,0.501189
0.0,3,0.503977
-0.682499,4,0.507564
-0.825216,6,0.512527
-0.277786,4,0.515948
0.0,4,0.519423
-1.304706,2,0.521179
-1.0,3,0.523855
0.159394,3,0.527246
-0.877277,4,0.53096
-0.337458,3,0.53369
-0.815063,4,0.53737
-0.321576,3,0.540119
0.0,2,0.542102
0.0,3,0.544928
0.0,3,0.547922
0.0,6,0.553095
-0.67713,2,0.554886
-1.0,3,0.557557
0.08511,3,0.560283
-0.780737,5,0.564543
0.0,5,0.569107
0.0,2,0.570932
-0.638373,4,0.574336
1.5,2,0.576022
0.0,5,0.58035
0.0,2,0.58206
0.0,4,0.585475
-1.0,4,0.589079
0.0,4,0.592577
0.0,4,0.596128
0.0,4,0.59966
0.0,4,0.603328
0.0,4,0.606849
-1.0,6,0.612024
0.0,2,0.613858
-0.599458,4,0.617495
0.412489,3,0.620037
0.0,3,0.622809
-0.815485,2,0.62462
-0.700638,3,0.627259
0.0,3,0.629894
0.0,4,0.633366
0.0,4,0.637137
-0.01389,3,0.640751
0.0,3,0.643943
0.0,3,0.646765
0.0,3,0.649736
-0.001895,6,0.65535
0.0,5,0.659731
0.0,6,0.665088
0.0,5,0.669645
-1.0,5,0.673921
0.0,2,0.675815
0.0,4,0.680729
1.0,2,0.683702
0.0,3,0.688216
1.0,3,0.692626
-1.0,3,0.697165
-1.0,4,0.702594
1.0,4,0.708316
0.0,4,0.714718
-0.240238,3,0.718623
-0.843537,4,0.72223
0.0,2,0.72421
-0.318862,4,0.727862
-0.280249,4,0.731763
0.0,3,0.734527
-0.046749,5,0.739184
-0.431043,4,0.743036
1.5,2,0.745418
