#{"t_start": 1779970271.8015378, "env_id": "Blackjack4game-v1"}
r,l,t
-0.19412,3,1.090878
0.0,4,1.098378
-0.783202,3,1.102096
0.0,3,1.105387
-0.284549,2,1.107461
-0.644291,3,1.110445
0.0,4,1.114393
0.0,4,1.119035
-0.157082,3,1.122247
0.0,3,1.125196
-0.960643,3,1.127951
-0.145983,3,1.130871
0.0,4,1.134718
0.0,3,1.137747
0.0,3,1.140792
0.0,3,1.143876
0.0,2,1.146098
-1.0,2,1.148152
0.0,5,1.153194
0.014399,3,1.156008
0.0,4,1.160531
0.0,2,1.162694
-0.576105,3,1.165853
0.0,3,1.169016
-0.145144,3,1.172161
0.0,2,1.174186
-1.0,4,1.178095
0.0,5,1.182871
0.168106,3,1.185841
-1.0,2,1.18765
0.207401,3,1.190369
-1.0,3,1.193469
-0.842331,6,1.199298
-0.283089,4,1.20326
0.0,3,1.206255
-0.259219,4,1.209997
0.0,2,1.212021
0.0,4,1.216497
-0.344375,4,1.220695
0.0,4,1.224562
-0.900502,3,1.227749
0.0,2,1.229891
0.0,3,1.232977
-1.0,3,1.236002
-0.487835,5,1.241047
0.019662,4,1.244548
-0.284041,4,1.24832
0.0,2,1.250343
0.837772,2,1.252141
0.0,3,1.255196
0.0,4,1.258875
0.0,3,1.261788
0.315098,2,1.263725
0.0,4,1.267341
0.0,4,1.271175
-1.0,3,1.273845
0.0,4,1.277831
0.854081,3,1.280731
0.0,3,1.283564
-1.0,2,1.285369
0.0,2,1.287055
0.989633,5,1.291719
-0.237012,4,1.295298
0.0,3,1.298228
0.0,4,1.302214
0.0,3,1.30509
-1.0,4,1.308703
0.0,4,1.312698
-1.0,3,1.315759
-0.363114,3,1.318719
0.0,3,1.321662
1.0,3,1.324669
-1.0,3,1.327572
-0.63417,4,1.331215
-0.697959,3,1.334165
0.699942,3,1.336814
0.561858,2,1.33883
0.0,4,1.342646
-0.016091,4,1.346346
0.0,3,1.34918
0.0,3,1.351945
0.0,2,1.353922
0.0,3,1.356689
-0.520156,4,1.360309
-0.630214,2,1.36222
-0.267983,4,1.36586
0.0,4,1.369795
-1.0,3,1.372434
-1.0,3,1.375086
0.0,2,1.376855
-1.0,2,1.378592
1.5,2,1.380718
0.0,2,1.382682
0.0,3,1.385583
-1.0,3,1.388487
-0.544687,5,1.3928
0.0,3,1.39598
0.0,2,1.398131
-0.256514,3,1.401386
0.0,2,1.403585
1.0,2,1.40565
-1.0,4,1.410548
0.0,4,1.414233
-0.433508,3,1.417569
0.0,4,1.421518
-0.272079,2,1.423627
-1.0,4,1.427412
0.693933,2,1.429567
0.0,3,1.432669
-1.0,4,1.437185
0.0,4,1.441011
0.0,2,1.443833
-0.41321,5,1.448909
0.0,4,1.453381
0.0,3,1.456553
0.0,4,1.461231
-0.517808,3,1.464779
-1.0,3,1.468328
-0.494544,3,1.472186
0.0,3,1.475647
0.0,4,1.480237
-1.0,2,1.48254
-0.054895,3,1.48614
0.351376,3,1.489158
-0.160767,3,1.492275
0.0,2,1.4943
-0.29416,3,1.497184
0.0,3,1.499958
-0.145363,3,1.502867
-1.0,2,1.504776
-0.784255,5,1.510465
0.0,5,1.516674
0.0,3,1.520377
0.0,3,1.523517
-0.707264,3,1.526731
0.0,3,1.5303
0.0,7,1.537767
0.0,3,1.541107
0.0,4,1.545435
-0.027423,5,1.550606
0.0,5,1.555949
0.0,2,1.558253
-0.650081,4,1.562422
1.0,4,1.56672
0.0,3,1.570237
-1.0,2,1.572315
-0.950639,2,1.574238
0.0,3,1.577303
-0.682499,4,1.581049
-0.825216,6,1.586629
-0.277786,4,1.590299
0.0,4,1.594226
-1.304706,2,1.596215
-1.0,3,1.599164
0.159394,3,1.602043
-0.877277,4,1.605676
-0.337458,3,1.60846
-0.815063,4,1.612331
-0.321576,3,1.614995
0.0,2,1.616885
0.0,3,1.619672
0.0,3,1.622314
0.0,6,1.627714
-0.67713,2,1.62951
-1.0,3,1.633568
0.08511,3,1.637473
-0.780737,5,1.643586
0.0,5,1.649796
0.0,2,1.652343
-0.638373,4,1.657224
1.5,2,1.659785
0.0,5,1.665909
0.0,2,1.667744
0.0,4,1.671687
-1.0,4,1.675585
0.0,4,1.679183
0.0,4,1.682806
0.0,4,1.686622
0.0,4,1.690348
0.0,4,1.693887
-1.0,6,1.699211
0.0,2,1.701075
-0.599458,4,1.704711
0.412489,3,1.707509
0.0,3,1.711078
-0.815485,2,1.713026
-0.700638,3,1.715831
0.0,3,1.718441
0.0,4,1.722067
0.0,4,1.725707
-0.01389,3,1.728449
0.0,3,1.731332
0.0,3,1.734125
0.0,3,1.737185
-0.001895,6,1.742928
0.0,5,1.748425
0.0,6,1.754337
0.0,5,1.759718
-1.0,5,1.764575
0.0,2,1.766936
0.0,4,1.771416
1.0,2,1.773837
0.0,3,1.777242
1.0,3,1.780503
-1.0,3,1.784363
-1.0,4,1.789133
1.0,4,1.793332
0.0,4,1.797648
-0.240238,3,1.801335
-0.843537,4,1.805954
0.0,2,1.808147
-0.318862,4,1.812274
-0.280249,4,1.817347
0.0,3,1.820989
-0.046749,5,1.826767
-0.431043,4,1.831051
1.5,2,1.833616
-1.0,5,1.838972
0.0,2,1.84186
-0.265796,3,1.845695
0.0,2,1.848196
0.0,4,1.852515
0.0,3,1.855836
0.200348,3,1.859301
0.0,3,1.863114
-0.377024,2,1.865221
0.0,3,1.868179
0.0,4,1.872473
0.0,4,1.876391
-0.541254,3,1.87945
0.0,3,1.882727
0.005323,2,1.884874
0.0,5,1.88993
-0.30625,3,1.893323
0.0,2,1.895279
0.846416,2,1.897464
-0.632556,4,1.901149
0.0,3,1.904586
0.0,3,1.907495
-1.0,3,1.910309
0.0,4,1.914071
0.0,2,1.915783
0.0,3,1.918816
0.0,2,1.920525
1.0,3,1.923362
0.0,4,1.927173
-1.0,4,1.931234
-1.0,5,1.935626
0.0,3,1.938616
0.0,5,1.943336
0.0,5,1.948058
-0.063589,2,1.949825
-1.0,3,1.95282
-1.0,4,1.95657
0.0,3,1.959551
-0.109559,4,1.963368
0.0,3,1.966388
0.0,2,1.968295
-0.258561,3,1.971044
0.0,3,1.973854
-0.841989,4,1.977411
0.0,2,1.979299
0.0,2,1.981254
0.0,2,1.983121
-1.0,4,1.986637
0.0,2,1.988523
-1.0,3,1.991222
-0.977712,6,1.997065
-0.73236,4,2.000635
-0.346718,2,2.002647
0.0,2,2.004453
1.5,2,2.006185
-0.367394,3,2.009014
0.0,3,2.011747
-0.285045,3,2.014481
-0.921321,3,2.017701
0.0,3,2.020573
0.0,4,2.024277
0.0,2,2.026371
0.0,3,2.029176
0.0,4,2.032578
-0.467923,4,2.036181
-0.463643,3,2.03877
-0.783419,3,2.041337
-0.984392,2,2.043102
